iter	RMSE
0	12263.1291
1	11313.25099
2	10363.83452
3	9497.052194
4	8735.622701
5	8010.215604
6	7374.663119
7	6811.859934
8	6337.101829
9	5904.256778
10	5466.810619
11	5074.603422
12	4722.507724
13	4402.254365
14	4137.348614
15	3888.646234
16	3672.064982
17	3463.409502
18	3291.398468
19	3134.071399
20	2993.771444
21	2870.417443
22	2758.861203
23	2678.38448
24	2598.871483
25	2525.075499
26	2458.752156
27	2405.623059
28	2352.897326
29	2314.810624
30	2279.929674
31	2236.671452
32	2206.704938
33	2179.018765
34	2152.398978
35	2125.896139
36	2104.134594
37	2082.883027
38	2054.838929
39	2028.820499
40	2013.248862
41	2000.359965
42	1986.856725
43	1971.828985
44	1952.691371
45	1934.044179
46	1923.240168
47	1904.251451
48	1888.702362
49	1875.889779
50	1867.22902
51	1859.465605
52	1847.543957
53	1835.636848
54	1827.022026
55	1816.833528
56	1810.544744
57	1794.371004
58	1785.20152
59	1776.458598
60	1763.430117
61	1759.488021
62	1751.837517
63	1746.27308
64	1740.660501
65	1726.363087
66	1715.869786
67	1698.956402
68	1689.300083
69	1680.53119
70	1670.594682
71	1665.237123
72	1659.876229
73	1649.468279
74	1643.494088
75	1636.299464
76	1625.183421
77	1620.069267
78	1608.550603
79	1600.076948
80	1598.031405
81	1594.034677
82	1592.385979
83	1582.563538
84	1573.554548
85	1564.359003
86	1556.371585
87	1551.358584
88	1540.182907
89	1530.874444
90	1523.974044
91	1506.348413
92	1500.907208
93	1489.671315
94	1482.709434
95	1479.958063
96	1471.372
97	1470.352119
98	1457.654252
99	1448.344013
100	1442.860652
101	1433.223877
102	1421.199235
103	1410.631037
104	1400.242965
105	1399.275284
106	1398.467106
107	1387.01885
108	1376.111789
109	1371.218213
110	1370.167395
111	1365.092879
112	1355.781434
113	1353.552195
114	1347.40509
115	1346.33992
116	1344.909493
117	1334.27018
118	1329.346537
119	1317.392925
120	1313.297578
121	1308.246634
122	1303.624845
123	1297.944125
124	1297.199603
125	1289.819129
126	1282.544806
127	1281.900587
128	1274.61936
129	1270.651068
130	1266.240789
131	1263.935038
132	1263.368905
133	1259.063224
134	1254.864467
135	1250.59282
136	1247.429418
137	1241.986162
138	1241.427281
139	1240.897918
140	1236.607961
141	1232.651051
142	1228.376198
143	1227.699024
144	1222.31464
145	1215.940287
146	1210.081302
147	1206.371679
148	1199.6973
149	1192.824979
150	1187.534118
151	1184.156642
152	1178.401486
153	1174.015678
154	1167.661711
155	1166.962483
156	1158.675046
157	1152.989093
158	1147.562642
159	1142.813592
160	1140.04949
161	1135.133583
162	1132.766062
163	1128.938297
164	1123.735047
165	1120.332193
166	1117.544157
167	1113.235081
168	1110.135297
169	1105.684918
170	1103.541734
171	1100.301718
172	1094.202541
173	1089.764466
174	1089.123915
175	1084.920279
176	1078.484583
177	1074.916982
178	1071.668998
179	1068.327777
180	1064.326459
181	1057.245675
182	1051.580865
183	1045.474132
184	1043.761639
185	1039.81854
186	1039.19323
187	1038.383726
188	1037.852149
189	1031.034984
190	1028.473996
191	1024.835661
192	1024.366965
193	1021.053004
194	1017.169046
195	1013.500524
196	1010.488291
197	1008.472954
198	1008.058223
199	1002.603074
200	999.7057823
201	997.3002339
202	994.9770126
203	992.1457317
204	991.6493549
205	989.3841454
206	986.7937076
207	983.238745
208	978.2350907
209	975.1755702
210	973.3387275
211	968.7227897
212	965.8292917
213	962.1760011
214	959.0761655
215	957.8309129
216	956.2748477
217	953.3141504
218	950.5702634
219	947.1653992
220	943.9340891
221	940.1025586
222	936.3974335
223	936.1745619
224	932.9096651
225	931.5677146
226	927.0321122
227	924.3860339
228	918.650941
229	914.3379875
230	911.3495592
231	909.8578059
232	907.0188268
233	903.8302746
234	903.4768169
235	900.0483163
236	897.2708785
237	895.5069562
238	892.9853589
239	890.8478085
240	888.5161556
241	886.008982
242	884.4447927
243	882.7105118
244	882.5176068
245	879.3988432
246	876.3420792
247	871.8292854
248	869.9465931
249	866.5455166
250	863.5740572
251	861.2451799
252	858.5667108
253	856.2097886
254	853.6387285
255	851.7975742
256	849.5752198
257	848.0521545
258	845.8667807
259	845.6980527
260	844.657685
261	841.8972022
262	840.4714947
263	838.0461642
264	837.8069107
265	835.469268
266	833.434741
267	830.839685
268	828.3832989
269	826.721684
270	826.4968514
271	824.2441781
272	822.1087255
273	820.0113714
274	816.8425967
275	813.7332983
276	812.9329383
277	811.1241548
278	808.4479837
279	807.3165168
280	804.4234997
281	802.1841161
282	801.2256513
283	798.9537934
284	795.4309053
285	793.3737427
286	791.7805264
287	791.6443495
288	789.2612915
289	788.3392654
290	786.2338567
291	784.488065
292	780.8619217
293	780.6134674
294	778.0293532
295	776.4334519
296	775.7566616
297	774.1653776
298	770.2878803
299	768.906619
300	767.3431721
301	765.7531254
302	763.7774452
303	761.6826552
304	760.3649111
305	759.1416522
306	756.9099291
307	754.7451452
308	753.3594833
309	752.3146835
310	750.6248285
311	747.7554378
312	744.7408098
313	743.3119954
314	742.6492373
315	741.3778224
316	739.4382784
317	738.3147131
318	735.8066768
319	734.6236961
320	731.7470834
321	729.9480594
322	727.8676616
323	727.0765193
324	725.3293919
325	722.7809032
326	722.5136453
327	720.8400125
328	719.2027272
329	718.1489163
330	714.9761313
331	713.7205043
332	711.4088392
333	710.3585284
334	709.7323819
335	708.0413672
336	707.7935845
337	706.4688163
338	703.2558738
339	701.2510017
340	700.2741126
341	699.1376392
342	698.1113616
343	696.3062023
344	693.4024592
345	690.2910411
346	688.9766761
347	687.6828991
348	686.2059035
349	685.0974689
350	683.6587173
351	682.5783133
352	681.4912383
353	680.1981776
354	678.5629496
355	676.4953516
356	673.9421778
357	671.628033
358	671.4237071
359	670.8223796
360	669.0258217
361	666.8003018
362	664.6710306
363	662.1190047
364	661.2549837
365	659.4968369
366	658.3702973
367	656.7279959
368	655.1424469
369	652.7130031
370	650.5459334
371	649.7912771
372	648.2479898
373	646.0959175
374	644.5963786
375	642.9867792
376	641.2640677
377	639.6578527
378	638.6265692
379	637.3477094
380	635.5095055
381	633.8303609
382	632.2546338
383	631.2997637
384	631.1632716
385	629.5411395
386	628.3358596
387	627.0142214
388	625.8219947
389	625.67586
390	624.7884654
391	623.6618709
392	621.6583591
393	620.7917141
394	619.9903811
395	618.6152579
396	617.5872163
397	615.8642472
398	614.8410383
399	613.9063775
400	613.468128
401	613.3290137
402	611.4422981
403	610.4855433
404	609.4085942
405	609.0032997
406	607.3868997
407	606.4591209
408	604.9369183
409	603.5708162
410	601.7374954
411	600.4566426
412	599.2922638
413	598.679204
414	598.5308502
415	598.4033758
416	597.5045647
417	596.4993219
418	595.3046106
419	593.7996689
420	593.2217355
421	592.6242474
422	591.5088406
423	590.9549388
424	589.749143
425	589.336873
426	587.9311728
427	587.0836982
428	585.3273525
429	584.8559725
430	584.0131799
431	582.6284874
432	582.1123016
433	580.595036
434	580.1976273
435	580.0854305
436	578.5130621
437	577.2051492
438	575.6792482
439	574.1596121
440	573.6939186
441	573.1729634
442	571.5669629
443	570.3078743
444	568.8085284
445	567.3437248
446	566.3063433
447	565.2053836
448	564.0485861
449	563.4888301
450	562.2541974
451	561.0893405
452	560.4527122
453	559.3492255
454	558.2806519
455	556.7349665
456	555.9080838
457	555.4238169
458	555.2769614
459	554.2349842
460	553.8727687
461	552.8776559
462	551.3913702
463	550.5916731
464	549.3950564
465	548.4649777
466	547.6370506
467	547.16948
468	546.4513005
469	545.0888357
470	544.5387796
471	543.0360827
472	541.9916451
473	540.4752688
474	539.6647692
475	538.7187587
476	538.5712372
477	537.5125006
478	536.5163977
479	535.1043948
480	534.11923
481	532.1672262
482	530.5655066
483	529.1755446
484	528.7891917
485	527.5664573
486	526.5827497
487	525.657079
488	524.5373865
489	523.5791561
490	523.0215998
491	522.248669
492	520.9470701
493	519.6395549
494	518.8061514
495	518.1705998
496	517.2691744
497	517.0549645
498	516.2123115
499	515.9306636
