iter	Passed	Remaining
0	2	1456
1	3	955
2	5	918
3	6	867
4	8	803
5	9	746
6	10	723
7	10	649
8	12	657
9	13	653
10	15	710
11	18	746
12	19	746
13	21	731
14	22	712
15	23	704
16	24	704
17	25	687
18	26	680
19	28	686
20	29	681
21	30	670
22	31	657
23	32	645
24	33	637
25	34	627
26	35	617
27	36	611
28	37	605
29	38	606
30	39	596
31	40	593
32	41	588
33	42	581
34	43	576
35	44	573
36	45	567
37	46	562
38	47	556
39	48	552
40	48	547
41	49	542
42	51	550
43	52	548
44	53	543
45	54	539
46	55	536
47	57	540
48	58	540
49	59	537
50	60	534
51	61	529
52	63	532
53	64	530
54	65	529
55	66	527
56	67	523
57	68	520
58	69	517
59	71	525
60	72	523
61	74	523
62	74	519
63	76	518
64	77	515
65	77	512
66	79	512
67	80	511
68	81	508
69	82	506
70	83	504
71	84	503
72	87	509
73	88	509
74	92	522
75	93	521
76	94	519
77	95	517
78	132	705
79	133	702
80	135	702
81	137	703
82	141	712
83	143	708
84	144	704
85	145	700
86	146	696
87	148	693
88	149	690
89	151	688
90	152	686
91	154	684
92	155	681
93	157	678
94	158	675
95	159	672
96	161	671
97	163	671
98	165	668
99	166	666
100	168	663
101	170	665
102	171	662
103	174	663
104	175	660
105	178	664
106	180	661
107	181	659
108	183	657
109	184	653
110	186	653
111	188	651
112	189	648
113	190	645
114	195	654
115	199	660
116	201	659
117	204	661
118	205	658
119	206	655
120	208	652
121	209	649
122	211	649
123	213	646
124	215	645
125	216	642
126	217	638
127	218	634
128	219	630
129	220	626
130	221	622
131	222	619
132	223	617
133	224	613
134	247	668
135	248	664
136	252	667
137	253	663
138	253	659
139	254	655
140	255	650
141	256	646
142	257	642
143	258	638
144	259	634
145	260	630
146	260	626
147	262	624
148	263	620
149	264	616
150	265	612
151	266	609
152	266	605
153	267	601
154	268	597
155	270	595
156	271	592
157	272	588
158	273	586
159	274	583
160	275	580
161	276	576
162	277	573
163	278	569
164	279	567
165	280	564
166	281	560
167	282	557
168	282	554
169	283	551
170	285	549
171	286	546
172	287	543
173	288	540
174	289	536
175	289	533
176	290	530
177	291	527
178	292	524
179	293	521
180	293	518
181	294	515
182	295	512
183	296	509
184	298	508
