iter	RMSE
0	12421.04765
1	11460.64954
2	10559.47957
3	9726.675934
4	9041.131408
5	8302.144202
6	7696.623592
7	7095.179347
8	6574.249412
9	6073.10752
10	5638.845477
11	5236.342899
12	4910.838138
13	4598.09673
14	4349.116574
15	4084.426323
16	3842.887467
17	3640.070037
18	3430.174688
19	3279.737518
20	3123.206142
21	2986.690383
22	2872.003551
23	2759.735233
24	2645.386319
25	2555.113605
26	2494.838672
27	2427.483736
28	2358.024687
29	2311.319747
30	2260.111949
31	2205.212753
32	2156.810713
33	2118.983851
34	2084.354526
35	2052.606732
36	2024.962565
37	1998.461136
38	1971.738257
39	1949.113388
40	1931.143806
41	1902.824929
42	1886.418535
43	1866.62731
44	1847.966862
45	1827.880826
46	1813.481098
47	1798.766545
48	1778.864356
49	1766.638849
50	1756.103948
51	1745.02003
52	1725.808777
53	1714.006581
54	1698.592401
55	1685.650366
56	1667.734525
57	1659.705714
58	1642.873186
59	1634.66821
60	1624.123851
61	1611.951751
62	1596.974868
63	1583.364472
64	1574.716916
65	1565.540189
66	1555.07331
67	1542.958448
68	1534.910811
69	1523.391688
70	1509.511439
71	1495.070306
72	1487.29064
73	1475.786107
74	1469.80513
75	1461.192735
76	1450.32072
77	1440.519514
78	1431.005415
79	1424.230931
80	1415.936712
81	1400.203634
82	1393.397298
83	1388.321234
84	1374.960158
85	1363.157847
86	1350.887114
87	1340.286876
88	1332.210414
89	1324.193622
90	1309.866654
91	1304.988866
92	1292.250262
93	1280.388875
94	1269.447347
95	1256.95618
96	1250.661433
97	1240.212112
98	1233.584941
99	1224.91861
100	1218.082294
101	1213.388532
102	1205.54336
103	1193.626334
104	1185.175479
105	1175.075877
106	1168.948218
107	1155.112868
108	1145.120704
109	1135.708607
110	1129.189825
111	1120.019239
112	1107.633768
113	1102.439662
114	1097.958266
115	1091.194258
116	1086.666552
117	1078.025734
118	1073.162718
119	1064.671828
120	1055.338133
121	1048.240124
122	1038.030989
123	1031.071331
124	1028.275201
125	1022.207968
126	1015.375771
127	1010.341023
128	1007.806842
129	1003.165434
130	995.9705154
131	990.305865
132	984.2961048
133	977.8985594
134	970.1484266
135	964.3394611
136	961.4210737
137	956.2892114
138	952.4047425
139	947.3997536
140	943.7099131
141	941.4081013
142	935.0818369
143	930.9566349
144	923.1985823
145	917.9951673
146	917.4850444
147	913.0820188
148	908.2340724
149	904.2896564
150	902.2413752
151	897.1311704
152	890.9696908
153	886.9692735
154	880.8735818
155	876.5033611
156	874.4231522
157	871.3193592
158	868.1566252
159	865.2802997
160	858.344668
161	854.546707
162	848.7555888
163	845.5321008
164	839.6563154
165	833.5647744
166	827.8999731
167	824.2042956
168	819.9130662
169	818.1399688
170	815.6671967
171	810.7025571
172	805.3272536
173	801.3446433
174	801.027463
175	793.933142
176	793.3527683
177	789.3246228
178	785.6649751
179	780.2531598
180	776.5500148
181	773.1834926
182	772.0463106
183	767.1039614
184	765.895685
185	762.6580239
186	757.3305496
187	756.3464366
188	754.6546739
189	751.5209275
190	748.3839081
191	747.5044686
192	744.7172049
193	743.8839798
194	740.2469658
195	735.4198299
196	730.8797131
197	726.6164253
198	724.2988502
199	720.7877858
200	717.0164771
201	713.4862233
202	710.754815
203	705.8864154
204	700.3788771
205	696.6463492
206	693.8121132
207	690.4196379
208	686.7017929
209	683.7758304
210	681.217548
211	679.7612284
212	676.3152994
213	674.0320689
214	670.4737233
215	668.8979647
216	665.6397421
217	661.0314222
218	660.194056
219	656.7701824
220	656.0497307
221	653.3082061
222	652.8210915
223	649.6463527
224	646.9022746
225	642.6078729
226	639.7864968
227	636.527839
228	634.3767383
229	631.8724656
230	628.9921991
231	625.9885626
232	622.7085526
233	620.911205
234	620.531703
235	616.390721
236	614.1115623
237	610.0543894
238	606.7549286
239	603.7574791
240	601.9348996
241	600.7895659
242	595.6699571
243	591.7492446
244	588.0940541
245	585.0562904
246	582.3913896
247	578.5441777
248	577.2959271
249	576.2750382
250	574.7144923
251	571.6563162
252	569.1653108
253	568.8878015
254	567.0758162
255	564.6954933
256	563.8112846
257	562.9152467
258	561.3900283
259	560.0142985
260	557.7592075
261	555.0311543
262	552.5557317
263	550.4133551
264	548.7551556
265	548.5672637
266	545.3239524
267	544.3029242
268	543.003129
269	541.1332727
270	539.3215381
271	536.9978126
272	533.8606426
273	533.711035
274	533.4904094
275	531.8150848
276	529.5636368
277	527.6995919
278	526.5759668
279	524.6991847
280	523.0392563
281	521.1125031
282	518.2824687
283	515.166269
284	512.6976574
285	510.5511577
286	507.895487
287	506.4447722
288	505.6725166
289	504.819405
290	503.6531972
291	501.299502
292	499.6157051
293	498.1258416
294	496.1584113
295	494.3168794
296	491.8551018
297	491.0857751
298	487.9905989
299	486.7664494
300	485.6626374
301	483.6541668
302	480.7811247
303	478.7216156
304	476.6819865
305	475.6321713
